,timestamp,open,high,low,close,volume
310,2024-03-06,81.93,87.4,79.76,85.87,1429676.918
311,2024-03-07,85.87,89.99,83.38,88.0,1274384.448
312,2024-03-08,88.0,89.48,83.78,88.32,1299568.77
313,2024-03-09,88.33,90.97,86.77,90.67,904845.679
314,2024-03-10,90.66,90.82,85.35,87.43,717059.191
315,2024-03-11,87.43,105.7,83.22,103.86,3096267.327
316,2024-03-12,103.87,104.27,91.77,97.52,2441251.838
317,2024-03-13,97.52,98.95,94.03,97.24,1134069.071
318,2024-03-14,97.24,98.24,89.55,94.08,1440061.815
319,2024-03-15,94.08,95.39,83.33,89.75,1627567.337
320,2024-03-16,89.77,90.75,82.25,84.12,1149294.873
321,2024-03-17,84.12,86.79,80.7,85.93,853819.758
322,2024-03-18,85.93,88.06,80.76,86.77,978580.698
323,2024-03-19,86.76,87.79,77.13,78.45,1961637.329
324,2024-03-20,78.45,85.29,76.97,84.65,1363127.952
325,2024-03-21,84.65,87.02,83.57,85.75,934690.544
326,2024-03-22,85.74,86.22,80.58,83.4,725163.718
327,2024-03-23,83.4,87.5,82.85,85.26,803555.89
328,2024-03-24,85.26,90.8,85.25,89.65,1052477.663
329,2024-03-25,89.66,92.06,88.54,90.58,1095171.166
330,2024-03-26,90.59,97.06,87.53,95.77,1767545.155
331,2024-03-27,95.76,99.0,92.3,93.55,1793109.088
332,2024-03-28,93.55,96.59,93.33,94.11,1112111.518
333,2024-03-29,94.11,110.44,92.75,109.06,3289558.98
334,2024-03-30,109.06,109.25,101.06,102.84,1242387.906
335,2024-03-31,102.84,106.87,101.41,105.01,1034072.535
336,2024-04-01,105.01,112.8,97.23,99.2,2502382.047
337,2024-04-02,99.21,108.99,93.1,106.75,2878977.199
338,2024-04-03,106.77,109.86,96.5,98.33,1868400.415
339,2024-04-04,98.33,104.3,96.23,98.38,1786345.493
340,2024-04-05,98.41,100.25,95.0,97.82,1244726.343
341,2024-04-06,97.83,102.47,97.17,101.6,771438.41
342,2024-04-07,101.6,105.99,100.11,101.21,938207.857
343,2024-04-08,101.21,106.06,99.52,103.27,1013133.783
344,2024-04-09,103.27,103.46,96.43,97.53,914660.536
345,2024-04-10,97.54,98.3,93.5,96.71,891774.881
346,2024-04-11,96.71,99.96,94.87,98.78,802195.584
347,2024-04-12,98.77,99.58,79.86,86.08,2094321.098
348,2024-04-13,86.1,86.67,70.5,77.33,2633053.68
349,2024-04-14,77.33,80.44,73.61,79.72,1630408.562
350,2024-04-15,79.72,82.83,75.61,78.1,1410368.593
351,2024-04-16,78.12,80.44,75.31,79.94,771397.839
352,2024-04-17,79.94,80.82,76.25,80.19,653290.465
353,2024-04-18,80.19,82.53,78.64,80.75,868441.994
354,2024-04-19,80.76,82.2,75.77,80.87,742141.865
355,2024-04-20,80.86,85.98,80.27,85.04,435008.951
356,2024-04-21,85.03,85.69,82.73,84.16,361745.445
357,2024-04-22,84.16,86.49,83.95,85.39,589746.588
358,2024-04-23,85.39,86.39,83.98,85.02,436631.335
359,2024-04-24,85.0,87.72,82.34,83.25,931482.385
360,2024-04-25,83.25,85.07,81.83,83.78,670805.321
361,2024-04-26,83.77,88.59,83.09,88.1,1062310.424
362,2024-04-27,88.1,88.46,83.14,83.88,699795.45
363,2024-04-28,83.88,85.43,83.57,83.99,384000.288
364,2024-04-29,83.98,85.64,81.73,83.51,519097.015
365,2024-04-30,83.52,84.56,77.19,79.49,616460.343
366,2024-05-01,79.48,80.89,74.6,80.17,713810.495
367,2024-05-02,80.17,81.28,78.66,80.02,398879.396
368,2024-05-03,80.03,82.62,79.33,81.85,426096.048
369,2024-05-04,81.86,83.01,81.42,81.66,294701.796
370,2024-05-05,81.66,81.78,80.37,81.32,336649.505
371,2024-05-06,81.32,84.2,80.01,80.79,580780.594
372,2024-05-07,80.79,82.65,79.78,80.84,493066.083
373,2024-05-08,80.82,82.33,79.32,81.7,486202.438
374,2024-05-09,81.69,83.16,80.7,83.08,352236.765
375,2024-05-10,83.07,83.48,79.55,80.22,420451.976
376,2024-05-11,80.22,82.29,80.13,81.39,258119.13
377,2024-05-12,81.39,82.18,80.84,81.41,186561.698
378,2024-05-13,81.42,82.61,78.95,80.62,448137.788
379,2024-05-14,80.62,81.67,78.53,78.79,482795.267
380,2024-05-15,78.77,82.87,78.23,82.45,464809.116
381,2024-05-16,82.45,83.24,81.37,82.43,347670.919
382,2024-05-17,82.43,84.23,81.92,84.14,326396.421
383,2024-05-18,84.15,84.81,83.43,83.84,215539.473
384,2024-05-19,83.84,84.38,81.77,82.4,227737.175
385,2024-05-20,82.4,89.11,82.39,88.64,599212.269
386,2024-05-21,88.64,89.63,87.0,88.26,905649.076
387,2024-05-22,88.26,88.48,84.88,85.78,537922.52
388,2024-05-23,85.78,87.95,80.53,85.45,984635.687
389,2024-05-24,85.45,86.48,84.01,85.0,591773.875
390,2024-05-25,85.0,85.98,84.43,84.98,251017.316
391,2024-05-26,84.99,85.26,83.54,83.9,279388.435
392,2024-05-27,83.91,86.43,83.82,85.24,346465.824
393,2024-05-28,85.24,85.54,82.06,83.44,475207.661
394,2024-05-29,83.44,84.21,82.63,83.59,334222.342
395,2024-05-30,83.58,85.54,81.9,84.42,441661.874
396,2024-05-31,84.43,84.7,82.02,83.21,355784.532
397,2024-06-01,83.21,83.74,82.92,83.48,172096.505
398,2024-06-02,83.48,83.53,82.2,83.11,285093.347
399,2024-06-03,83.11,84.29,82.65,82.82,379200.72
400,2024-06-04,82.83,83.7,81.11,83.65,340359.329
401,2024-06-05,83.66,85.47,83.49,85.44,302276.545
402,2024-06-06,85.44,85.84,84.16,84.19,296197.824
403,2024-06-07,84.19,84.83,75.0,80.13,782793.301
404,2024-06-08,80.13,80.46,78.84,79.97,257436.338
405,2024-06-09,79.96,80.71,79.49,80.49,163718.623
406,2024-06-10,80.5,80.52,79.07,79.66,245521.341
407,2024-06-11,79.67,79.85,75.55,77.32,673700.591
408,2024-06-12,77.31,79.28,76.33,78.5,474723.842
409,2024-06-13,78.5,79.79,77.27,79.15,375356.239
410,2024-06-14,79.15,80.27,75.9,77.61,513907.515
411,2024-06-15,77.61,79.47,77.45,79.23,234242.45
412,2024-06-16,79.23,80.15,78.63,78.98,189493.659
413,2024-06-17,78.99,79.24,75.1,76.59,452907.381
414,2024-06-18,76.6,76.77,70.65,72.66,731466.118
415,2024-06-19,72.66,74.97,72.5,73.77,316900.189
416,2024-06-20,73.77,75.35,73.24,74.69,371950.598
417,2024-06-21,74.7,74.73,72.17,74.17,523545.991
418,2024-06-22,74.17,74.88,73.56,74.61,179086.364
419,2024-06-23,74.6,75.06,73.23,73.37,183031.022
420,2024-06-24,73.37,73.45,67.5,69.68,712802.629
421,2024-06-25,69.68,72.03,69.4,71.35,369103.552
422,2024-06-26,71.35,71.95,70.36,71.02,286798.118
423,2024-06-27,71.02,73.35,70.55,73.28,300895.691
424,2024-06-28,73.28,74.76,72.54,72.9,412794.018
425,2024-06-29,72.9,76.9,72.87,74.95,348415.315
426,2024-06-30,74.94,75.98,74.11,75.31,317637.764
427,2024-07-01,75.32,75.96,74.17,74.38,270636.833
428,2024-07-02,74.38,76.21,74.28,76.04,243844.128
429,2024-07-03,76.04,76.21,71.78,72.08,393529.358
430,2024-07-04,72.08,72.42,65.0,65.42,534114.975
431,2024-07-05,65.42,65.58,56.86,61.85,1437934.907
432,2024-07-06,61.85,65.67,61.4,65.39,320005.364
433,2024-07-07,65.4,65.57,61.63,62.05,287837.524
434,2024-07-08,62.04,67.03,59.25,64.92,542865.4
435,2024-07-09,64.92,66.3,64.26,65.3,237630.526
436,2024-07-10,65.31,67.3,64.5,66.96,288677.299
437,2024-07-11,66.96,69.14,66.42,67.36,294587.381
438,2024-07-12,67.36,69.42,66.78,69.25,401927.86
439,2024-07-13,69.26,70.68,69.13,69.82,258768.927
440,2024-07-14,69.82,70.51,69.23,69.92,228944.765
441,2024-07-15,69.91,72.53,69.67,72.29,435940.946
442,2024-07-16,72.29,74.09,70.34,73.21,435389.184
443,2024-07-17,73.2,74.25,71.12,71.38,344202.11
444,2024-07-18,71.37,72.95,70.5,71.63,238896.669
445,2024-07-19,71.64,74.13,69.67,73.4,356994.208
446,2024-07-20,73.41,73.92,72.31,73.03,199919.213
447,2024-07-21,73.04,74.13,71.21,73.98,264424.146
448,2024-07-22,73.99,74.61,70.7,71.26,371305.96
449,2024-07-23,71.25,73.11,70.43,72.92,353283.963
450,2024-07-24,72.92,73.67,70.74,71.29,261735.815
451,2024-07-25,71.28,71.66,67.29,68.79,410661.569
452,2024-07-26,68.8,71.7,68.76,71.31,234994.905
453,2024-07-27,71.31,72.37,70.27,71.32,255064.977
454,2024-07-28,71.3,71.77,70.34,71.07,149307.521
455,2024-07-29,71.08,76.78,71.04,73.69,577061.851
